location,total_cases,first_case,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,diabetes_prevalence,female_smokers,male_smokers,total_deaths
Burkina Faso,-0.017138481,0.048594657,-0.015453658,0.016006815,-0.404349623,-0.26186234,-0.248914585,-0.163520659,-0.261446338,-0.18707427,-0.071217627,-0.01955777
Bangladesh,-0.004879531,0.032334495,0.084445063,0.016006815,-0.105255968,-0.158059986,-0.142942525,-0.147854918,0.021958322,-0.200741696,0.23287594,-0.016966604
Bulgaria,-0.016206603,0.024204413,-0.025149101,0.016006815,0.414381495,0.448116428,0.414189995,-0.018465893,-0.10024805,0.462128464,0.228489975,-0.019022896
Bahrain,-0.013512352,-0.081486643,-0.02879448,0.016006815,0.042780286,-0.263290636,-0.247300515,0.194273331,0.409024418,-0.091402288,0.12907477,-0.020045099
Bahamas,-0.017626711,0.089245064,-0.029703476,0.016006815,0.100182099,-0.007587104,-0.035078107,0.060294101,0.249728175,-0.152905705,-0.122387218,-0.020033213
Bosnia and Herzegovina,-0.01612607,0.007944251,-0.027697272,0.016006815,0.347916238,0.284750283,0.271650896,-0.077393994,0.102795222,0.464406368,0.276735589,-0.01873763
Belarus,0.000874963,-0.048966318,-0.023411559,0.016006815,0.281450981,0.216423705,0.220278936,-0.030470535,-0.130205254,0.015659215,0.253343776,-0.018428592
Belize,-0.017681358,0.154285714,-0.029700437,0.016006815,-0.180784669,-0.206120206,-0.197653941,-0.110857128,0.437079578,-0.063476057,-0.107999285,-0.020140188
Bermuda,-0.017607297,0.121765389,-0.029933428,0.016006815,-0.118357292,-0.058187857,-0.0524208,0.257754323,0.241644485,-0.063476057,-0.107999285,-0.020068871
Bolivia,-0.015430756,0.056724739,-0.021866587,0.016006815,-0.168700076,-0.096064232,-0.079993786,-0.118931685,-0.048892843,-0.063476057,-0.107999285,-0.018476136
Brazil,0.118185976,-0.065226481,0.117703871,0.016006815,0.076012915,-0.024726652,-0.04287017,-0.056835725,0.009119521,0.006547598,-0.158936926,0.136126155
Barbados,-0.017633182,0.105505226,-0.029777036,0.016006815,0.266345241,0.2223299,0.202746794,-0.032104308,0.268748622,-0.180240557,-0.208644528,-0.020080757
Brunei,-0.017592916,0.040464576,-0.029672742,0.016006815,0.042780286,-0.177631497,-0.191921208,0.439629245,0.23165875,-0.177962652,0.031121554,-0.020152074
Botswana,-0.017677044,0.219326365,-0.028342848,0.016006815,-0.156615484,-0.202723178,-0.199713272,-0.042176235,-0.147799167,-0.093680192,0.082291145,-0.020152074
Canada,0.03427663,-0.317259001,-0.003754457,0.016006815,0.314683609,0.300770356,0.276437449,0.200527008,-0.026068306,0.04982778,-0.177942774,0.042879828
Switzerland,0.004114248,-0.065226481,-0.023963698,0.016006815,0.366043126,0.356821311,0.379237026,0.315748432,-0.110709295,0.291285639,0.001881788,-0.001586011
Chile,0.007027088,-0.008315912,-0.016695265,0.016006815,0.133414727,0.073130904,0.061654792,0.017700397,0.025762412,0.555522541,0.186092314,-0.016051375
China,0.042722499,-0.528641115,0.97002678,0.016006815,0.233112612,0.055914151,0.005496279,-0.046466414,0.086627842,-0.180240557,0.286969507,0.03495181
Cote d'Ivoire,-0.016319492,0.056724739,-0.011649777,0.016006815,-0.371116995,-0.241634585,-0.236447284,-0.147192268,-0.261446338,-0.063476057,-0.107999285,-0.019878694
Cameroon,-0.015680983,0.016074332,-0.011533341,0.016006815,-0.368095847,-0.232678785,-0.217690675,-0.149223354,-0.034151996,-0.063476057,-0.107999285,-0.018547453
Democratic Republic of Congo,-0.01680125,0.048594657,0.032248163,0.016006815,-0.422476511,-0.23827616,-0.227375096,-0.171220418,-0.086458226,-0.063476057,-0.107999285,-0.019569656
Congo,-0.017449107,0.089245064,-0.026142872,0.016006815,-0.362053551,-0.223529972,-0.209675981,-0.136176499,-0.034151996,-0.184796365,0.343987051,-0.020033213
